date,place,team
16/08/2014, H ,Swansea City
24/08/2014, A ,Sunderland AFC
30/08/2014, A ,Burnley FC
14/09/2014, H ,Queens Park Rangers
21/09/2014, A ,Leicester City
27/09/2014, H ,West Ham United
05/10/2014, H ,Everton FC
20/10/2014, A ,West Bromwich Albion
26/10/2014, H ,Chelsea FC
02/11/2014, A ,Manchester City
08/11/2014, H ,Crystal Palace
22/11/2014, A ,Arsenal FC
29/11/2014, H ,Hull City
02/12/2014, H ,Stoke City
08/12/2014, A ,Southampton FC
14/12/2014, H ,Liverpool FC
20/12/2014, A ,Aston Villa
26/12/2014, H ,Newcastle United
28/12/2014, A ,Tottenham Hotspur
01/01/2015, A ,Stoke City
11/01/2015, H ,Southampton FC
17/01/2015, A ,Queens Park Rangers
31/01/2015, H ,Leicester City
08/02/2015, A ,West Ham United
11/02/2015, H ,Burnley FC
21/02/2015, A ,Swansea City
28/02/2015, H ,Sunderland AFC
04/03/2015, A ,Newcastle United
15/03/2015, H ,Tottenham Hotspur
22/03/2015, A ,Liverpool FC
04/04/2015, H ,Aston Villa
12/04/2015, H ,Manchester City
18/04/2015, A ,Chelsea FC
26/04/2015, A ,Everton FC
02/05/2015, H ,West Bromwich Albion
09/05/2015, A ,Crystal Palace
17/05/2015, H ,Arsenal FC
24/05/2015, A ,Hull City
04/01/2015, A ,Yeovil Town
23/01/2015, A ,Cambridge United
03/02/2015, H ,Cambridge United
16/02/2015, A ,Preston North End
09/03/2015, H ,Arsenal FC
26/08/2014, A ,Milton Keynes Dons
