Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2016-12-01 00:00:00,1083,1,NB_NS,1,North,73,0,,17386,41,3,67,0,3,0,0
2016-12-01 00:00:00,1083,2,NB_MID,1,North,101,0,,17852,20,0,99,0,1,1,0
2016-12-01 00:00:00,1083,3,NB_OS,1,North,36,0,,18704,0,0,36,0,0,0,0
2016-12-01 00:00:00,1083,4,SB_OS,2,South,32,0,,18411,0,2,30,0,0,0,0
2016-12-01 00:00:00,1083,5,SB_MID,2,South,93,0,,18333,22,0,91,0,2,0,0
2016-12-01 00:00:00,1083,6,SB_NS,2,South,94,0,,17544,21,0,92,0,2,0,0
2016-12-01 01:00:00,1083,1,NB_NS,1,North,33,0,,15842,61,0,31,0,0,2,0
2016-12-01 01:00:00,1083,2,NB_MID,1,North,46,0,,17071,43,1,43,0,1,1,0
2016-12-01 01:00:00,1083,3,NB_OS,1,North,8,0,,18264,250,0,6,0,2,0,0
2016-12-01 01:00:00,1083,4,SB_OS,2,South,17,0,,18366,0,2,15,0,0,0,0
2016-12-01 01:00:00,1083,5,SB_MID,2,South,44,0,,19242,68,2,39,0,2,1,0
2016-12-01 01:00:00,1083,6,SB_NS,2,South,55,0,,17343,36,0,53,0,1,1,0
2016-12-01 02:00:00,1083,1,NB_NS,1,North,23,0,,17850,174,0,19,0,3,1,0
2016-12-01 02:00:00,1083,2,NB_MID,1,North,33,0,,17870,121,0,29,0,3,1,0
2016-12-01 02:00:00,1083,3,NB_OS,1,North,5,0,,17778,0,0,5,0,0,0,0
2016-12-01 02:00:00,1083,4,SB_OS,2,South,10,0,,17583,200,0,8,0,1,1,0
2016-12-01 02:00:00,1083,5,SB_MID,2,South,33,0,,18232,61,2,29,0,1,1,0
2016-12-01 02:00:00,1083,6,SB_NS,2,South,51,0,,17440,78,0,47,0,3,1,0
2016-12-01 03:00:00,1083,1,NB_NS,1,North,33,0,,17854,30,1,31,0,1,0,0
2016-12-01 03:00:00,1083,2,NB_MID,1,North,25,0,,17278,80,1,22,0,1,1,0
2016-12-01 03:00:00,1083,3,NB_OS,1,North,5,0,,18389,0,1,4,0,0,0,0
2016-12-01 03:00:00,1083,4,SB_OS,2,South,11,0,,17323,273,0,8,0,3,0,0
2016-12-01 03:00:00,1083,5,SB_MID,2,South,32,0,,17908,31,0,31,0,1,0,0
2016-12-01 03:00:00,1083,6,SB_NS,2,South,42,0,,16938,71,0,38,1,3,0,0
2016-12-01 04:00:00,1083,1,NB_NS,1,North,54,0,,17572,37,2,50,0,2,0,0
2016-12-01 04:00:00,1083,2,NB_MID,1,North,68,0,,17341,44,1,64,0,3,0,0
2016-12-01 04:00:00,1083,3,NB_OS,1,North,12,0,,18403,0,0,12,0,0,0,0
2016-12-01 04:00:00,1083,4,SB_OS,2,South,14,0,,18849,71,3,10,0,1,0,0
2016-12-01 04:00:00,1083,5,SB_MID,2,South,54,0,,18658,37,4,48,0,2,0,0
2016-12-01 04:00:00,1083,6,SB_NS,2,South,70,0,,18405,57,1,65,0,3,1,0
2016-12-01 05:00:00,1083,1,NB_NS,1,North,190,0,,16509,32,2,179,0,6,0,3
2016-12-01 05:00:00,1083,2,NB_MID,1,North,156,0,,17552,90,2,140,0,11,3,0
2016-12-01 05:00:00,1083,3,NB_OS,1,North,59,0,,18861,34,0,57,0,2,0,0
2016-12-01 05:00:00,1083,4,SB_OS,2,South,59,0,,18413,0,3,56,0,0,0,0
2016-12-01 05:00:00,1083,5,SB_MID,2,South,101,0,,18289,20,8,91,0,2,0,0
2016-12-01 05:00:00,1083,6,SB_NS,2,South,132,0,,18224,45,0,126,0,5,1,0
2016-12-01 06:00:00,1083,1,NB_NS,1,North,335,0,,15617,42,5,306,0,12,2,10
2016-12-01 06:00:00,1083,2,NB_MID,1,North,434,0,,16358,39,3,414,0,15,2,0
2016-12-01 06:00:00,1083,3,NB_OS,1,North,409,0,,16829,15,1,402,0,6,0,0
2016-12-01 06:00:00,1083,4,SB_OS,2,South,236,0,,18146,0,15,220,0,0,0,1
2016-12-01 06:00:00,1083,5,SB_MID,2,South,272,0,,17895,44,11,248,1,11,1,0
2016-12-01 06:00:00,1083,6,SB_NS,2,South,377,0,,17717,66,7,341,0,20,5,4
2016-12-01 07:00:00,1083,1,NB_NS,1,North,837,0,,11427,26,10,792,1,22,0,12
2016-12-01 07:00:00,1083,2,NB_MID,1,North,1118,0,,9162,26,10,1076,0,26,3,3
2016-12-01 07:00:00,1083,3,NB_OS,1,North,1136,0,,9387,28,7,1085,0,27,5,11
2016-12-01 07:00:00,1083,4,SB_OS,2,South,588,0,,16019,15,12,567,0,9,0,0
2016-12-01 07:00:00,1083,5,SB_MID,2,South,564,0,,15717,35,16,527,0,19,1,1
2016-12-01 07:00:00,1083,6,SB_NS,2,South,884,0,,15113,40,5,831,2,33,2,11
2016-12-01 08:00:00,1083,1,NB_NS,1,North,941,0,,7952,34,11,888,1,27,5,9
2016-12-01 08:00:00,1083,2,NB_MID,1,North,981,0,,6316,41,15,914,2,37,3,10
2016-12-01 08:00:00,1083,3,NB_OS,1,North,993,0,,6401,29,10,944,0,27,2,10
2016-12-01 08:00:00,1083,4,SB_OS,2,South,585,0,,16011,21,8,564,1,11,1,0
2016-12-01 08:00:00,1083,5,SB_MID,2,South,625,0,,15171,19,19,594,0,11,1,0
2016-12-01 08:00:00,1083,6,SB_NS,2,South,1038,0,,14633,41,7,977,1,38,5,10
2016-12-01 09:00:00,1083,1,NB_NS,1,North,713,0,,12010,66,6,647,1,47,0,12
2016-12-01 09:00:00,1083,2,NB_MID,1,North,886,0,,12397,42,10,835,4,33,4,0
2016-12-01 09:00:00,1083,3,NB_OS,1,North,933,0,,13101,21,4,909,0,16,4,0
2016-12-01 09:00:00,1083,4,SB_OS,2,South,466,0,,17210,13,12,448,0,5,1,0
