Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-12-01 00:00:00,1083,1,NB_NS,1,North,110,0,,16891,18,1,106,0,2,0,1,2012-12-01,00:00:00,6
2012-12-01 00:00:00,1083,2,NB_MID,1,North,181,0,,18197,11,1,178,0,1,1,0,2012-12-01,00:00:00,6
2012-12-01 00:00:00,1083,3,NB_OS,1,North,77,0,,18730,13,0,76,0,1,0,0,2012-12-01,00:00:00,6
2012-12-01 00:00:00,1083,4,SB_OS,2,South,77,0,,18023,0,1,76,0,0,0,0,2012-12-01,00:00:00,6
2012-12-01 00:00:00,1083,5,SB_MID,2,South,207,0,,18549,19,4,199,0,4,0,0,2012-12-01,00:00:00,6
2012-12-01 00:00:00,1083,6,SB_NS,2,South,177,0,,17514,17,2,170,0,2,1,2,2012-12-01,00:00:00,6
2012-12-01 01:00:00,1083,1,NB_NS,1,North,90,0,,16833,33,0,87,0,3,0,0,2012-12-01,01:00:00,6
2012-12-01 01:00:00,1083,2,NB_MID,1,North,158,0,,18091,25,1,150,0,3,1,3,2012-12-01,01:00:00,6
2012-12-01 01:00:00,1083,3,NB_OS,1,North,60,0,,19440,17,0,59,0,1,0,0,2012-12-01,01:00:00,6
2012-12-01 01:00:00,1083,4,SB_OS,2,South,54,0,,18899,19,0,53,0,0,1,0,2012-12-01,01:00:00,6
2012-12-01 01:00:00,1083,5,SB_MID,2,South,163,0,,18480,31,6,152,0,5,0,0,2012-12-01,01:00:00,6
2012-12-01 01:00:00,1083,6,SB_NS,2,South,141,0,,17275,14,2,134,0,2,0,3,2012-12-01,01:00:00,6
2012-12-01 02:00:00,1083,1,NB_NS,1,North,82,0,,16853,37,0,77,1,2,1,1,2012-12-01,02:00:00,6
2012-12-01 02:00:00,1083,2,NB_MID,1,North,159,0,,18326,13,0,156,0,2,0,1,2012-12-01,02:00:00,6
