Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-12-01 09:00:00,1083,3,NB_OS,1,North,501,0,,17253,16,1,492,0,7,1,0,2012-12-01,09:00:00,6
2012-12-02 09:00:00,1083,3,NB_OS,1,North,236,0,,18126,17,0,232,0,4,0,0,2012-12-02,09:00:00,7
2012-12-03 09:00:00,1083,3,NB_OS,1,North,984,0,,13246,32,2,947,2,27,4,1,2012-12-03,09:00:00,1
2012-12-04 09:00:00,1083,3,NB_OS,1,North,1145,0,,9056,27,1,1107,2,20,11,1,2012-12-04,09:00:00,2
2012-12-05 09:00:00,1083,3,NB_OS,1,North,871,0,,14652,18,0,853,1,16,0,0,2012-12-05,09:00:00,3
2012-12-06 09:00:00,1083,3,NB_OS,1,North,1011,0,,13932,34,4,971,2,32,2,0,2012-12-06,09:00:00,4
2012-12-07 09:00:00,1083,3,NB_OS,1,North,860,0,,15744,17,1,844,0,15,0,0,2012-12-07,09:00:00,5
2012-12-08 09:00:00,1083,3,NB_OS,1,North,466,0,,17267,24,1,454,0,11,0,0,2012-12-08,09:00:00,6
2012-12-09 09:00:00,1083,3,NB_OS,1,North,251,0,,17771,12,0,248,0,3,0,0,2012-12-09,09:00:00,7
2012-12-10 09:00:00,1083,3,NB_OS,1,North,893,0,,14987,26,2,866,2,23,0,0,2012-12-10,09:00:00,1
2012-12-18 09:00:00,1083,3,NB_OS,1,North,950,0,,14377,26,4,917,1,23,2,2,2012-12-18,09:00:00,2
2012-12-19 09:00:00,1083,3,NB_OS,1,North,203,0,,11219,20,1,198,0,2,2,0,2012-12-19,09:00:00,3
2012-12-20 09:00:00,1083,3,NB_OS,1,North,387,0,,14439,23,0,378,0,9,0,0,2012-12-20,09:00:00,4
2012-12-22 09:00:00,1083,3,NB_OS,1,North,0,0,,14875,0,0,0,0,0,0,0,2012-12-22,09:00:00,6
2012-12-23 09:00:00,1083,3,NB_OS,1,North,176,0,,18074,34,2,168,0,6,0,0,2012-12-23,09:00:00,7
2012-12-24 09:00:00,1083,3,NB_OS,1,North,210,0,,17451,24,1,203,1,5,0,0,2012-12-24,09:00:00,1
2012-12-25 09:00:00,1083,3,NB_OS,1,North,11,16,Holiday,18308,91,0,10,0,1,0,0,2012-12-25,09:00:00,2
2012-12-26 09:00:00,1083,3,NB_OS,1,North,139,16,Holiday,18225,14,0,137,0,2,0,0,2012-12-26,09:00:00,3
2012-12-27 09:00:00,1083,3,NB_OS,1,North,83,0,,17587,36,0,80,0,3,0,0,2012-12-27,09:00:00,4
2012-12-28 09:00:00,1083,3,NB_OS,1,North,356,0,,17622,3,0,354,1,1,0,0,2012-12-28,09:00:00,5
2012-12-29 09:00:00,1083,3,NB_OS,1,North,244,0,,17650,20,1,238,0,5,0,0,2012-12-29,09:00:00,6
2012-12-30 09:00:00,1083,3,NB_OS,1,North,133,0,,17640,8,0,132,0,1,0,0,2012-12-30,09:00:00,7
2012-12-31 09:00:00,1083,3,NB_OS,1,North,310,0,,17780,13,1,304,1,4,0,0,2012-12-31,09:00:00,1
2013-12-01 09:00:00,1083,3,NB_OS,1,North,283,0,,17064,11,1,279,0,3,0,0,2013-12-01,09:00:00,7
2013-12-02 09:00:00,1083,3,NB_OS,1,North,883,0,,13872,14,0,870,0,11,1,1,2013-12-02,09:00:00,1
2013-12-03 09:00:00,1083,3,NB_OS,1,North,954,0,,11570,15,1,935,1,14,0,3,2013-12-03,09:00:00,2
2013-12-04 09:00:00,1083,3,NB_OS,1,North,934,0,,13932,32,2,901,0,30,0,1,2013-12-04,09:00:00,3
2013-12-05 09:00:00,1083,3,NB_OS,1,North,931,0,,13949,28,6,899,0,26,0,0,2013-12-05,09:00:00,4
2013-12-06 09:00:00,1083,3,NB_OS,1,North,845,0,,15207,31,1,818,0,26,0,0,2013-12-06,09:00:00,5
2013-12-07 09:00:00,1083,3,NB_OS,1,North,595,0,,16387,25,1,579,0,14,1,0,2013-12-07,09:00:00,6
2013-12-08 09:00:00,1083,3,NB_OS,1,North,292,0,,17181,10,6,283,0,3,0,0,2013-12-08,09:00:00,7
2013-12-09 09:00:00,1083,3,NB_OS,1,North,971,0,,14078,20,1,951,0,18,1,0,2013-12-09,09:00:00,1
2013-12-10 09:00:00,1083,3,NB_OS,1,North,956,0,,13294,25,3,926,2,24,0,1,2013-12-10,09:00:00,2
2013-12-11 09:00:00,1083,3,NB_OS,1,North,870,0,,14840,31,4,830,0,24,3,9,2013-12-11,09:00:00,3
2013-12-12 09:00:00,1083,3,NB_OS,1,North,954,0,,10307,24,4,924,1,20,3,2,2013-12-12,09:00:00,4
2013-12-13 09:00:00,1083,3,NB_OS,1,North,859,0,,14410,20,2,838,2,16,1,0,2013-12-13,09:00:00,5
2013-12-14 09:00:00,1083,3,NB_OS,1,North,502,0,,16913,20,4,486,1,10,0,1,2013-12-14,09:00:00,6
2013-12-15 09:00:00,1083,3,NB_OS,1,North,261,0,,17308,8,4,255,0,2,0,0,2013-12-15,09:00:00,7
2013-12-16 09:00:00,1083,3,NB_OS,1,North,896,0,,12044,27,2,868,1,24,0,1,2013-12-16,09:00:00,1
2013-12-17 09:00:00,1083,3,NB_OS,1,North,961,0,,13108,23,4,934,1,21,1,0,2013-12-17,09:00:00,2
2013-12-18 09:00:00,1083,3,NB_OS,1,North,960,0,,14430,19,3,937,0,17,1,2,2013-12-18,09:00:00,3
2013-12-19 09:00:00,1083,3,NB_OS,1,North,913,0,,14180,22,2,890,1,19,1,0,2013-12-19,09:00:00,4
2013-12-20 09:00:00,1083,3,NB_OS,1,North,806,0,,15438,27,1,783,0,22,0,0,2013-12-20,09:00:00,5
2013-12-21 09:00:00,1083,3,NB_OS,1,North,419,0,,17293,29,0,405,0,11,1,2,2013-12-21,09:00:00,6
2013-12-22 09:00:00,1083,3,NB_OS,1,North,237,0,,17649,13,0,234,0,3,0,0,2013-12-22,09:00:00,7
2013-12-23 09:00:00,1083,3,NB_OS,1,North,649,0,,16112,23,2,632,0,15,0,0,2013-12-23,09:00:00,1
2013-12-24 09:00:00,1083,3,NB_OS,1,North,543,0,,17192,17,1,533,0,9,0,0,2013-12-24,09:00:00,2
2013-12-25 09:00:00,1083,3,NB_OS,1,North,93,16,Holiday,17536,11,3,89,0,1,0,0,2013-12-25,09:00:00,3
2013-12-26 09:00:00,1083,3,NB_OS,1,North,112,16,Holiday,18080,9,2,109,0,1,0,0,2013-12-26,09:00:00,4
2013-12-27 09:00:00,1083,3,NB_OS,1,North,313,0,,17959,19,1,305,0,6,0,1,2013-12-27,09:00:00,5
2013-12-28 09:00:00,1083,3,NB_OS,1,North,235,0,,17377,9,2,229,1,2,0,1,2013-12-28,09:00:00,6
2013-12-29 09:00:00,1083,3,NB_OS,1,North,146,0,,17776,21,1,142,0,3,0,0,2013-12-29,09:00:00,7
2013-12-30 09:00:00,1083,3,NB_OS,1,North,398,0,,16772,20,2,388,0,7,1,0,2013-12-30,09:00:00,1
2013-12-31 09:00:00,1083,3,NB_OS,1,North,385,0,,17016,21,3,373,0,8,0,1,2013-12-31,09:00:00,2
2015-12-01 09:00:00,1083,3,NB_OS,1,North,905,0,,9115,34,7,866,0,28,3,1,2015-12-01,09:00:00,2
2015-12-02 09:00:00,1083,3,NB_OS,1,North,1154,0,,8492,30,3,1111,2,34,1,2,2015-12-02,09:00:00,3
2015-12-03 09:00:00,1083,3,NB_OS,1,North,1162,0,,8070,28,2,1117,7,29,4,3,2015-12-03,09:00:00,4
2015-12-04 09:00:00,1083,3,NB_OS,1,North,817,0,,15138,27,3,791,1,21,1,0,2015-12-04,09:00:00,5
2015-12-05 09:00:00,1083,3,NB_OS,1,North,457,0,,16280,15,5,445,0,7,0,0,2015-12-05,09:00:00,6
2015-12-06 09:00:00,1083,3,NB_OS,1,North,288,0,,17000,10,1,283,0,3,0,1,2015-12-06,09:00:00,7
2015-12-07 09:00:00,1083,3,NB_OS,1,North,868,0,,14280,30,4,836,1,26,0,1,2015-12-07,09:00:00,1
2015-12-08 09:00:00,1083,3,NB_OS,1,North,945,0,,14236,35,5,906,1,32,1,0,2015-12-08,09:00:00,2
2015-12-09 09:00:00,1083,3,NB_OS,1,North,925,0,,14074,25,4,896,1,21,2,1,2015-12-09,09:00:00,3
2015-12-10 09:00:00,1083,3,NB_OS,1,North,982,0,,10524,29,1,952,1,26,2,0,2015-12-10,09:00:00,4
2015-12-11 09:00:00,1083,3,NB_OS,1,North,857,0,,14725,47,2,815,0,39,1,0,2015-12-11,09:00:00,5
