Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2012-11-01 00:00:00,1083,3,NB_OS,1,North,26.0,0,,18526,0,1,25,0,0,0,0.0
2012-11-02 00:00:00,1083,3,NB_OS,1,North,31.0,0,,17984,0,0,31,0,0,0,0.0
2012-11-03 00:00:00,1083,3,NB_OS,1,North,48.0,0,,18663,21,0,47,0,1,0,0.0
2012-11-04 00:00:00,1083,3,NB_OS,1,North,113.0,0,,18011,18,0,111,0,2,0,0.0
2012-11-05 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18426,0,0,18,0,0,0,0.0
2012-11-07 00:00:00,1083,3,NB_OS,1,North,28.0,0,,18809,0,1,27,0,0,0,0.0
2012-11-08 00:00:00,1083,3,NB_OS,1,North,27.0,0,,18714,0,0,27,0,0,0,0.0
2012-11-09 00:00:00,1083,3,NB_OS,1,North,23.0,0,,18466,0,0,23,0,0,0,0.0
2012-11-10 00:00:00,1083,3,NB_OS,1,North,60.0,0,,19060,17,0,59,0,1,0,0.0
2012-11-11 00:00:00,1083,3,NB_OS,1,North,80.0,0,,18052,0,0,80,0,0,0,0.0
2012-11-12 00:00:00,1083,3,NB_OS,1,North,29.0,0,,18879,0,0,29,0,0,0,0.0
2012-11-13 00:00:00,1083,3,NB_OS,1,North,17.0,0,,19428,59,0,16,0,1,0,0.0
2012-11-14 00:00:00,1083,3,NB_OS,1,North,22.0,0,,18788,0,0,22,0,0,0,0.0
2012-11-15 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18611,0,0,18,0,0,0,0.0
2012-11-16 00:00:00,1083,3,NB_OS,1,North,26.0,0,,19295,0,0,26,0,0,0,0.0
2012-11-17 00:00:00,1083,3,NB_OS,1,North,61.0,0,,18834,16,0,60,0,1,0,0.0
2012-11-18 00:00:00,1083,3,NB_OS,1,North,75.0,0,,18370,0,0,75,0,0,0,0.0
2012-11-19 00:00:00,1083,3,NB_OS,1,North,16.0,0,,18455,62,0,15,0,1,0,0.0
2012-11-20 00:00:00,1083,3,NB_OS,1,North,13.0,0,,18419,0,0,13,0,0,0,0.0
2012-11-21 00:00:00,1083,3,NB_OS,1,North,13.0,0,,19038,0,0,13,0,0,0,0.0
2012-11-22 00:00:00,1083,3,NB_OS,1,North,23.0,0,,19082,0,0,23,0,0,0,0.0
2012-11-23 00:00:00,1083,3,NB_OS,1,North,29.0,0,,18927,0,0,29,0,0,0,0.0
2012-11-24 00:00:00,1083,3,NB_OS,1,North,64.0,0,,18299,16,0,63,0,1,0,0.0
2012-11-25 00:00:00,1083,3,NB_OS,1,North,90.0,0,,18133,0,0,90,0,0,0,0.0
2012-11-26 00:00:00,1083,3,NB_OS,1,North,19.0,0,,17325,0,0,19,0,0,0,0.0
2012-11-27 00:00:00,1083,3,NB_OS,1,North,16.0,0,,19392,0,0,16,0,0,0,0.0
2012-11-28 00:00:00,1083,3,NB_OS,1,North,0.0,0,,13636,0,0,0,0,0,0,0.0
2012-11-29 00:00:00,1083,3,NB_OS,1,North,31.0,0,,17849,0,0,31,0,0,0,0.0
2012-11-30 00:00:00,1083,3,NB_OS,1,North,30.0,0,,18361,0,0,30,0,0,0,0.0
2013-11-01 00:00:00,1083,3,NB_OS,1,North,55.0,0,,18495,0,0,55,0,0,0,0.0
2013-11-02 00:00:00,1083,3,NB_OS,1,North,73.0,0,,18900,0,0,73,0,0,0,0.0
2013-11-03 00:00:00,1083,3,NB_OS,1,North,100.0,0,,17875,0,0,100,0,0,0,0.0
2013-11-04 00:00:00,1083,3,NB_OS,1,North,23.0,0,,18056,43,1,21,0,1,0,0.0
2013-11-05 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18071,0,0,18,0,0,0,0.0
2013-11-06 00:00:00,1083,3,NB_OS,1,North,12.0,0,,17269,0,0,12,0,0,0,0.0
2013-11-07 00:00:00,1083,3,NB_OS,1,North,29.0,0,,17510,0,0,29,0,0,0,0.0
2013-11-08 00:00:00,1083,3,NB_OS,1,North,40.0,0,,18917,0,0,40,0,0,0,0.0
2013-11-09 00:00:00,1083,3,NB_OS,1,North,58.0,0,,18788,34,0,56,0,2,0,0.0
2013-11-10 00:00:00,1083,3,NB_OS,1,North,61.0,0,,17883,0,0,61,0,0,0,0.0
2013-11-11 00:00:00,1083,3,NB_OS,1,North,30.0,0,,17880,0,0,30,0,0,0,0.0
2013-11-12 00:00:00,1083,3,NB_OS,1,North,15.0,0,,17815,0,0,15,0,0,0,0.0
2013-11-13 00:00:00,1083,3,NB_OS,1,North,25.0,0,,18178,40,0,24,0,1,0,0.0
2013-11-14 00:00:00,1083,3,NB_OS,1,North,22.0,0,,17386,0,0,22,0,0,0,0.0
2013-11-15 00:00:00,1083,3,NB_OS,1,North,23.0,0,,17899,43,0,22,0,1,0,0.0
2013-11-16 00:00:00,1083,3,NB_OS,1,North,81.0,0,,18666,12,0,80,0,1,0,0.0
2013-11-17 00:00:00,1083,3,NB_OS,1,North,77.0,0,,17947,26,0,75,0,2,0,0.0
2013-11-18 00:00:00,1083,3,NB_OS,1,North,29.0,0,,17672,0,0,29,0,0,0,0.0
2013-11-19 00:00:00,1083,3,NB_OS,1,North,15.0,0,,17889,0,0,15,0,0,0,0.0
2013-11-20 00:00:00,1083,3,NB_OS,1,North,22.0,0,,17210,45,0,21,0,1,0,0.0
2013-11-21 00:00:00,1083,3,NB_OS,1,North,37.0,0,,17808,0,0,37,0,0,0,0.0
2013-11-22 00:00:00,1083,3,NB_OS,1,North,49.0,0,,18980,0,0,49,0,0,0,0.0
2013-11-23 00:00:00,1083,3,NB_OS,1,North,105.0,0,,17913,10,0,104,0,1,0,0.0
2013-11-24 00:00:00,1083,3,NB_OS,1,North,102.0,0,,18807,0,1,101,0,0,0,0.0
2013-11-25 00:00:00,1083,3,NB_OS,1,North,20.0,0,,17792,0,0,20,0,0,0,0.0
2013-11-26 00:00:00,1083,3,NB_OS,1,North,19.0,0,,17997,53,0,18,0,1,0,0.0
2013-11-27 00:00:00,1083,3,NB_OS,1,North,21.0,0,,18122,48,0,20,0,1,0,0.0
2013-11-28 00:00:00,1083,3,NB_OS,1,North,26.0,0,,16955,0,1,25,0,0,0,0.0
2013-11-29 00:00:00,1083,3,NB_OS,1,North,31.0,0,,18943,0,1,30,0,0,0,0.0
2013-11-30 00:00:00,1083,3,NB_OS,1,North,106.0,0,,18884,9,1,104,0,1,0,0.0
2015-11-01 00:00:00,1083,3,NB_OS,1,North,93.0,0,,18408,11,0,92,0,1,0,0.0
2015-11-02 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18488,0,0,18,0,0,0,0.0
2015-11-03 00:00:00,1083,3,NB_OS,1,North,20.0,0,,17778,50,0,19,0,1,0,0.0
2015-11-04 00:00:00,1083,3,NB_OS,1,North,25.0,0,,18122,0,0,25,0,0,0,0.0
2015-11-05 00:00:00,1083,3,NB_OS,1,North,32.0,0,,18689,0,0,32,0,0,0,0.0
2015-11-06 00:00:00,1083,3,NB_OS,1,North,33.0,0,,18712,0,0,33,0,0,0,0.0
2015-11-07 00:00:00,1083,3,NB_OS,1,North,57.0,0,,18338,0,0,57,0,0,0,0.0
2015-11-08 00:00:00,1083,3,NB_OS,1,North,105.0,0,,17563,0,0,105,0,0,0,0.0
2015-11-09 00:00:00,1083,3,NB_OS,1,North,30.0,0,,17815,33,0,29,0,1,0,0.0
2015-11-10 00:00:00,1083,3,NB_OS,1,North,19.0,0,,16827,0,0,19,0,0,0,0.0
2015-11-11 00:00:00,1083,3,NB_OS,1,North,20.0,0,,19417,0,0,20,0,0,0,0.0
2015-11-12 00:00:00,1083,3,NB_OS,1,North,26.0,0,,17789,0,0,25,1,0,0,0.0
2015-11-13 00:00:00,1083,3,NB_OS,1,North,40.0,0,,18271,0,0,40,0,0,0,0.0
2015-11-14 00:00:00,1083,3,NB_OS,1,North,75.0,0,,17430,27,2,71,0,2,0,0.0
2015-11-15 00:00:00,1083,3,NB_OS,1,North,86.0,0,,17875,0,1,85,0,0,0,0.0
2015-11-16 00:00:00,1083,3,NB_OS,1,North,26.0,0,,17404,0,0,26,0,0,0,0.0
2015-11-17 00:00:00,1083,3,NB_OS,1,North,13.0,0,,18376,0,0,13,0,0,0,0.0
2015-11-18 00:00:00,1083,3,NB_OS,1,North,21.0,0,,18320,48,0,20,0,1,0,0.0
2015-11-19 00:00:00,1083,3,NB_OS,1,North,17.0,0,,18350,0,0,17,0,0,0,0.0
2015-11-20 00:00:00,1083,3,NB_OS,1,North,28.0,0,,18194,0,1,27,0,0,0,0.0
2015-11-21 00:00:00,1083,3,NB_OS,1,North,57.0,0,,17510,0,0,57,0,0,0,0.0
2015-11-22 00:00:00,1083,3,NB_OS,1,North,77.0,0,,18943,0,1,76,0,0,0,0.0
2015-11-23 00:00:00,1083,3,NB_OS,1,North,21.0,0,,18492,0,0,21,0,0,0,0.0
2015-11-24 00:00:00,1083,3,NB_OS,1,North,16.0,0,,17830,0,0,16,0,0,0,0.0
2015-11-25 00:00:00,1083,3,NB_OS,1,North,31.0,0,,17142,0,0,31,0,0,0,0.0
2015-11-26 00:00:00,1083,3,NB_OS,1,North,29.0,0,,17366,0,0,29,0,0,0,0.0
2015-11-27 00:00:00,1083,3,NB_OS,1,North,42.0,0,,17487,0,0,42,0,0,0,0.0
2015-11-28 00:00:00,1083,3,NB_OS,1,North,78.0,0,,18504,26,2,74,0,2,0,0.0
2015-11-29 00:00:00,1083,3,NB_OS,1,North,91.0,0,,18181,11,0,90,0,1,0,0.0
2015-11-30 00:00:00,1083,3,NB_OS,1,North,26.0,0,,17628,0,0,26,0,0,0,0.0
2016-11-01 00:00:00,1083,3,NB_OS,1,North,21.0,0,,18571,0,0,21,0,0,0,0.0
2016-11-02 00:00:00,1083,3,NB_OS,1,North,24.0,0,,17998,42,0,23,0,1,0,0.0
2016-11-03 00:00:00,1083,3,NB_OS,1,North,20.0,0,,17625,50,0,19,0,1,0,0.0
2016-11-04 00:00:00,1083,3,NB_OS,1,North,30.0,0,,18139,0,0,30,0,0,0,0.0
2016-11-05 00:00:00,1083,3,NB_OS,1,North,58.0,0,,18314,0,0,58,0,0,0,0.0
2016-11-06 00:00:00,1083,3,NB_OS,1,North,59.0,0,,18456,0,0,59,0,0,0,0.0
2016-11-07 00:00:00,1083,3,NB_OS,1,North,11.0,0,,17349,0,0,11,0,0,0,0.0
2016-11-08 00:00:00,1083,3,NB_OS,1,North,13.0,0,,17970,0,0,13,0,0,0,0.0
2016-11-09 00:00:00,1083,3,NB_OS,1,North,22.0,0,,18775,0,0,22,0,0,0,0.0
2016-11-10 00:00:00,1083,3,NB_OS,1,North,29.0,0,,16648,0,0,29,0,0,0,0.0
2016-11-11 00:00:00,1083,3,NB_OS,1,North,37.0,0,,17185,0,0,37,0,0,0,0.0
2016-11-12 00:00:00,1083,3,NB_OS,1,North,47.0,0,,18121,21,0,46,0,1,0,0.0
2016-11-13 00:00:00,1083,3,NB_OS,1,North,82.0,0,,18459,12,0,81,0,1,0,0.0
2016-11-14 00:00:00,1083,3,NB_OS,1,North,17.0,0,,17925,59,0,16,0,1,0,0.0
2016-11-15 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18117,0,0,18,0,0,0,0.0
2016-11-16 00:00:00,1083,3,NB_OS,1,North,20.0,0,,17125,0,0,20,0,0,0,0.0
2016-11-17 00:00:00,1083,3,NB_OS,1,North,16.0,0,,17552,0,0,16,0,0,0,0.0
2016-11-18 00:00:00,1083,3,NB_OS,1,North,31.0,0,,18799,32,0,30,0,1,0,0.0
2016-11-19 00:00:00,1083,3,NB_OS,1,North,66.0,0,,18396,30,0,64,0,2,0,0.0
2016-11-20 00:00:00,1083,3,NB_OS,1,North,75.0,0,,18759,0,0,75,0,0,0,0.0
2016-11-21 00:00:00,1083,3,NB_OS,1,North,18.0,0,,18441,0,0,18,0,0,0,0.0
2016-11-22 00:00:00,1083,3,NB_OS,1,North,15.0,0,,17611,0,0,15,0,0,0,0.0
2016-11-23 00:00:00,1083,3,NB_OS,1,North,20.0,0,,17222,50,0,19,0,1,0,0.0
2016-11-24 00:00:00,1083,3,NB_OS,1,North,23.0,0,,18430,0,0,23,0,0,0,0.0
2016-11-25 00:00:00,1083,3,NB_OS,1,North,40.0,0,,17451,0,0,40,0,0,0,0.0
2016-11-26 00:00:00,1083,3,NB_OS,1,North,71.0,0,,17911,0,0,71,0,0,0,0.0
