Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,/Users/ushisensei/datalake/weekday
2012-11-01 12:00:00,1083,3,NB_OS,1,North,511.0,0,,16920,29,1,494,1,15,0,0.0,2012-11-01,12:00:00,4
2012-11-02 12:00:00,1083,3,NB_OS,1,North,565.0,0,,17697,25,3,548,0,14,0,0.0,2012-11-02,12:00:00,5
2012-11-03 12:00:00,1083,3,NB_OS,1,North,545.0,0,,11743,13,1,845,2,5,6,3.0,2012-11-03,12:00:00,6
2012-11-04 12:00:00,1083,3,NB_OS,1,North,641.0,0,,16112,9,2,632,1,6,0,0.0,2012-11-04,12:00:00,7
2012-11-05 12:00:00,1083,3,NB_OS,1,North,495.0,0,,17380,28,1,478,2,12,2,0.0,2012-11-05,12:00:00,1
2012-11-07 12:00:00,1083,3,NB_OS,1,North,507.0,0,,16988,47,3,478,2,22,2,0.0,2012-11-07,12:00:00,3
2012-11-08 12:00:00,1083,3,NB_OS,1,North,488.0,0,,17290,41,2,466,0,19,1,0.0,2012-11-08,12:00:00,4
2012-11-09 12:00:00,1083,3,NB_OS,1,North,583.0,0,,16748,45,1,556,0,26,0,0.0,2012-11-09,12:00:00,5
2012-11-10 12:00:00,1083,3,NB_OS,1,North,608.0,0,,16961,20,3,593,0,12,0,0.0,2012-11-10,12:00:00,6
2012-11-11 12:00:00,1083,3,NB_OS,1,North,545.0,0,,16970,3,7,693,0,2,0,0.0,2012-11-11,12:00:00,7
2012-11-12 12:00:00,1083,3,NB_OS,1,North,510.0,0,,16813,31,4,489,1,16,0,0.0,2012-11-12,12:00:00,1
2012-11-13 12:00:00,1083,3,NB_OS,1,North,523.0,0,,17053,44,2,497,1,23,0,0.0,2012-11-13,12:00:00,2
2012-11-14 12:00:00,1083,3,NB_OS,1,North,596.0,0,,16668,32,3,573,1,19,0,0.0,2012-11-14,12:00:00,3
2012-11-15 12:00:00,1083,3,NB_OS,1,North,554.0,0,,17170,38,2,531,0,21,0,0.0,2012-11-15,12:00:00,4
2012-11-16 12:00:00,1083,3,NB_OS,1,North,598.0,0,,17051,43,5,565,2,26,0,0.0,2012-11-16,12:00:00,5
2012-11-17 12:00:00,1083,3,NB_OS,1,North,578.0,0,,17161,5,3,572,0,3,0,0.0,2012-11-17,12:00:00,6
2012-11-18 12:00:00,1083,3,NB_OS,1,North,496.0,0,,17339,6,2,491,0,3,0,0.0,2012-11-18,12:00:00,7
2012-11-19 12:00:00,1083,3,NB_OS,1,North,468.0,0,,16959,47,2,444,0,22,0,0.0,2012-11-19,12:00:00,1
2012-11-20 12:00:00,1083,3,NB_OS,1,North,446.0,0,,17030,52,2,421,0,22,1,0.0,2012-11-20,12:00:00,2
2012-11-21 12:00:00,1083,3,NB_OS,1,North,499.0,0,,16792,60,3,463,3,30,0,0.0,2012-11-21,12:00:00,3
2012-11-22 12:00:00,1083,3,NB_OS,1,North,503.0,0,,16668,40,2,477,4,19,1,0.0,2012-11-22,12:00:00,4
2012-11-23 12:00:00,1083,3,NB_OS,1,North,575.0,0,,17246,19,5,559,0,11,0,0.0,2012-11-23,12:00:00,5
2012-11-24 12:00:00,1083,3,NB_OS,1,North,545.0,0,,11587,20,2,887,3,12,6,4.0,2012-11-24,12:00:00,6
2012-11-25 12:00:00,1083,3,NB_OS,1,North,553.0,0,,17031,7,2,546,1,4,0,0.0,2012-11-25,12:00:00,7
2012-11-26 12:00:00,1083,3,NB_OS,1,North,516.0,0,,16826,17,2,503,2,9,0,0.0,2012-11-26,12:00:00,1
2012-11-27 12:00:00,1083,3,NB_OS,1,North,479.0,0,,16858,40,1,459,0,19,0,0.0,2012-11-27,12:00:00,2
2012-11-28 12:00:00,1083,3,NB_OS,1,North,519.0,0,,16820,39,1,498,0,19,1,0.0,2012-11-28,12:00:00,3
2012-11-29 12:00:00,1083,3,NB_OS,1,North,512.0,0,,17282,29,3,494,0,15,0,0.0,2012-11-29,12:00:00,4
2012-11-30 12:00:00,1083,3,NB_OS,1,North,549.0,0,,17158,36,0,529,0,20,0,0.0,2012-11-30,12:00:00,5
